収集日,機種名,台番号,G数,差枚,BB,RB,BB確率,RB確率,合成確率,推定設定,信頼度,備考
2026-07-06,マイジャグラーV,2177,7367,912,28,27,1/263.1,1/272.9,1/133.9,4,中,特記事項なし
2026-07-06,マイジャグラーV,2178,8216,1809,35,29,1/234.7,1/283.3,1/128.4,5,中,特記事項なし
2026-07-06,マイジャグラーV,2179,6797,415,30,20,1/226.6,1/339.9,1/135.9,3,中,特記事項なし
2026-07-06,マイジャグラーV,2180,4824,6,17,14,1/283.8,1/344.6,1/155.6,3,低,特記事項なし
2026-07-06,マイジャグラーV,2181,6704,-1385,18,22,1/372.4,1/304.7,1/167.6,3,中,REG優勢で高設定示唆
2026-07-06,マイジャグラーV,2182,4209,-500,15,10,1/280.6,1/420.9,1/168.4,1,低,特記事項なし
2026-07-06,マイジャグラーV,2183,4942,-1297,14,9,1/353.0,1/549.1,1/214.9,1,低,特記事項なし
2026-07-06,マイジャグラーV,2184,8175,1615,37,23,1/220.9,1/355.4,1/136.2,3,中,特記事項なし
2026-07-06,マイジャグラーV,2185,8155,2106,36,26,1/226.5,1/313.7,1/131.5,4,中,特記事項なし
2026-07-06,マイジャグラーV,2186,7054,-997,23,20,1/306.7,1/352.7,1/164.0,2,中,特記事項なし
2026-07-06,マイジャグラーV,2187,7301,-194,25,21,1/292.0,1/347.7,1/158.7,3,中,特記事項なし
2026-07-06,マイジャグラーV,2188,7059,1509,31,19,1/227.7,1/371.5,1/141.2,2,中,特記事項なし
2026-07-06,マイジャグラーV,2189,5714,9,23,14,1/248.4,1/408.1,1/154.4,1,低,特記事項なし
2026-07-06,マイジャグラーV,2190,5781,-2882,13,10,1/444.7,1/578.1,1/251.3,1,低,特記事項なし
2026-07-06,マイジャグラーV,2191,8164,1103,34,28,1/240.1,1/291.6,1/131.7,4,中,特記事項なし
2026-07-06,マイジャグラーV,2192,6557,-1085,23,13,1/285.1,1/504.4,1/182.1,1,中,特記事項なし
2026-07-06,マイジャグラーV,2193,6384,-694,21,19,1/304.0,1/336.0,1/159.6,3,中,特記事項なし
2026-07-06,マイジャグラーV,2194,7767,2318,40,22,1/194.2,1/353.0,1/125.3,5,中,特記事項なし
2026-07-06,マイジャグラーV,2195,7305,715,30,23,1/243.5,1/317.6,1/137.8,4,中,特記事項なし
2026-07-06,マイジャグラーV,2196,6068,806,23,22,1/263.8,1/275.8,1/134.8,4,中,特記事項なし
2026-07-06,マイジャグラーV,2197,7501,1015,31,24,1/242.0,1/312.5,1/136.4,4,中,特記事項なし
2026-07-06,マイジャグラーV,2198,7635,912,31,25,1/246.3,1/305.4,1/136.3,4,中,特記事項なし
2026-07-06,マイジャグラーV,2199,6685,112,26,15,1/257.1,1/445.7,1/163.0,1,中,特記事項なし
2026-07-06,マイジャグラーV,2200,6620,206,27,19,1/245.2,1/348.4,1/143.9,3,中,特記事項なし
2026-07-06,マイジャグラーV,2201,6240,-1297,16,18,1/390.0,1/346.7,1/183.5,2,中,REG優勢で高設定示唆
2026-07-06,マイジャグラーV,2202,5685,803,22,24,1/258.4,1/236.9,1/123.6,6,低,REG優勢で高設定示唆
2026-07-06,マイジャグラーV,2203,8664,1915,39,27,1/222.2,1/320.9,1/131.3,4,中,特記事項なし
2026-07-06,マイジャグラーV,2204,8021,1615,34,30,1/235.9,1/267.4,1/125.3,5,中,特記事項なし
2026-07-06,マイジャグラーV,2205,6307,1103,26,22,1/242.6,1/286.7,1/131.4,4,中,特記事項なし
2026-07-06,マイジャグラーV,2206,4937,-1597,14,9,1/352.6,1/548.6,1/214.7,1,低,特記事項なし
2026-07-06,マイジャグラーV,2207,3859,-394,15,5,1/257.3,1/771.8,1/192.9,1,低,特記事項なし
2026-07-06,マイジャグラーV,2208,8232,-997,26,28,1/316.6,1/294.0,1/152.4,3,中,REG優勢で高設定示唆
2026-07-06,マイジャグラーV,2209,6128,1015,26,18,1/235.7,1/340.4,1/139.3,3,中,特記事項なし
2026-07-06,マイジャグラーV,2210,5571,-394,19,15,1/293.2,1/371.4,1/163.9,2,低,特記事項なし
2026-07-06,マイジャグラーV,2211,3630,-1191,10,7,1/363.0,1/518.6,1/213.5,1,低,特記事項なし
2026-07-06,マイジャグラーV,2212,6776,1809,32,17,1/211.8,1/398.6,1/138.3,2,中,特記事項なし
2026-07-06,マイジャグラーV,2213,6956,1103,29,23,1/239.9,1/302.4,1/133.8,4,中,特記事項なし
2026-07-06,マイジャグラーV,2214,6472,203,30,13,1/215.7,1/497.8,1/150.5,1,中,特記事項なし
2026-07-06,マイジャグラーV,2215,6291,1209,30,14,1/209.7,1/449.4,1/143.0,1,中,特記事項なし
2026-07-06,マイジャグラーV,2216,4497,-1191,11,13,1/408.8,1/345.9,1/187.4,2,低,REG優勢で高設定示唆
2026-07-06,マイジャグラーV,2217,5478,-1685,14,15,1/391.3,1/365.2,1/188.9,2,低,REG優勢で高設定示唆
2026-07-06,マイジャグラーV,2218,7674,909,33,18,1/232.5,1/426.3,1/150.5,1,中,特記事項なし
2026-07-06,マイジャグラーV,2219,6014,-591,21,15,1/286.4,1/400.9,1/167.1,1,中,特記事項なし
2026-07-06,マイジャグラーV,2220,6519,806,28,17,1/232.8,1/383.5,1/144.9,2,中,特記事項なし
2026-07-06,マイジャグラーV,2221,5418,-2200,11,13,1/492.5,1/416.8,1/225.8,1,低,REG優勢で高設定示唆
